# numero_iteraciones:  1
# numero_hilos:        100000
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                1000
# Tmax:                1500
# densidad_uniforme:   0
# Cyril:               0
# Z-Order              0
# emisividad:          0.85
# lambda:              0.0042
# difusion:            0.100347
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   5519269
# caminos_cortados:    880712
# %% cortados:         13.7612
# puntos_generados:    3695932490
# tiempo:              28m 0s

   2757516      69801
   2693247     224325
   2639747     403365
   2588461     610369
   2537957     852399
   2487898    1140402
   2438149    1490871
   2389160    1932604
   1597860    1492775
   1080207    1052076
   1088892    1063698
    859299     842105
    859878     841952
   1096946    1076435
   1097684    1077718
   1604182    1571801
   1609268    1590187
   1109782    1096368
   1112756    1098328
    877383     867410
    875939     865300
   1107553    1097171
   1107847    1096418
   1609761    1590220
   1608758    1601128
   1109540    1102316
   1111396    1103641
    877924     874107
    878396     873090
   1111589    1106689
   1109650    1106934
   1611260    1602531
   1605194    1608451
   1107147    1109950
   1106941    1109999
    874858     878053
    874353     877011
   1104535    1109610
   1103729    1107922
   1603901    1606389
   1592609    1607731
   1097391    1107356
   1097687    1107755
    866096     875359
    867805     877320
   1099400    1112333
   1096057    1109020
   1590590    1607194
   1574193    1602198
   1078152    1097305
   1075329    1094638
    842993     858276
    843015     859575
   1065245    1088589
   1053183    1079147
   1493184    1597490
   1935096    2387406
   1491627    2436423
   1141202    2486275
    852609    2536360
    610097    2587500
    402681    2638591
    224549    2692114
     70030    2756453
