# numero_iteraciones:  1
# numero_hilos:        100000
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                1000
# Tmax:                1500
# densidad_uniforme:   0
# Cyril:               1
# Z-Order              0
# emisividad:          0.85
# lambda:              0.03765
# difusion:            0.499968
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   6089476
# caminos_cortados:    310510
# %% cortados:         4.85173
# puntos_generados:    4181769283
# tiempo:              19m 21s

     96415       2934
     90402       7938
     84091      13206
     77980      18389
     72134      23632
     66709      28713
     60834      34417
     55302      39567
     51869      42732
     50847      43906
     50681      44119
     50298      44408
     50438      44297
     50111      44679
     50076      44618
     50147      44560
     48980      45704
     49313      45370
     49439      45131
     48769      45963
     49011      45751
     49106      45609
     48603      46039
     48635      45996
     48085      46637
     48303      46284
     48139      46503
     47797      46868
     47719      46829
     47628      46973
     47799      46936
     47522      47202
     46932      47617
     47102      47577
     47016      47702
     46715      47876
     46765      47868
     46554      48195
     46532      48044
     46861      47756
     45491      49203
     45796      48892
     46074      48583
     45688      49032
     45387      49192
     45472      49263
     45415      49247
     45632      49006
     44425      50315
     44518      50293
     44714      49952
     44442      50233
     44393      50449
     44229      50385
     44004      50802
     42735      51814
     39283      55506
     34281      60661
     28792      66547
     23370      72356
     18380      78128
     13343      83879
      8013      90329
      2920      96408
