# numero_iteraciones:  1
# numero_hilos:        4330
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                300
# Tmax:                310
# densidad_uniforme:   0
# Cyril:               1
# Z-Order              0
# emisividad:          0.85
# lambda:              0.001
# difusion:            0.646411
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   265029
# caminos_cortados:    12091
# %% cortados:         4.36309
# puntos_generados:    184301774
# tiempo:              1m 21s

      4176        126
      3948        313
      3714        509
      3395        776
      3264        890
      2963       1175
      2750       1406
      2500       1623
      2386       1723
      2286       1841
      2323       1805
      2253       1851
      2236       1884
      2198       1916
      2206       1925
      2182       1928
      2290       1841
      2234       1886
      2203       1931
      2201       1925
      2158       1973
      2096       2024
      2231       1902
      2206       1960
      2084       2061
      2118       2009
      2056       2072
      2098       2016
      2099       2053
      2081       2052
      2068       2052
      2097       2018
      2003       2111
      2010       2098
      2040       2084
      2041       2067
      1997       2127
      2022       2096
      1961       2139
      2030       2095
      1965       2144
      1949       2170
      2024       2107
      1977       2154
      1932       2206
      1926       2200
      1865       2252
      1948       2166
      1929       2205
      1867       2241
      1882       2246
      1881       2243
      1825       2328
      1841       2271
      1814       2303
      1759       2358
      1657       2484
      1437       2694
      1161       2994
       935       3241
       745       3443
       570       3629
       341       3932
       128       4173
