# numero_iteraciones:  1
# numero_hilos:        100000
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                300
# Tmax:                310
# densidad_uniforme:   0
# Cyril:               1
# Z-Order              0
# emisividad:          0.85
# lambda:              0.001
# difusion:            0.646411
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   6115484
# caminos_cortados:    284490
# %% cortados:         4.44517
# puntos_generados:    4258332952
# tiempo:              19m 0s

     96714       2655
     90864       7476
     85140      12250
     79029      17557
     73849      22196
     68669      26918
     63133      32347
     57977      37189
     54408      40679
     53160      42121
     52835      42413
     52168      42975
     52215      43043
     52022      43161
     51766      43418
     51848      43373
     50549      44672
     50530      44478
     50733      44446
     50118      44945
     50375      44698
     49950      45172
     49814      45314
     50233      44949
     48688      46495
     49092      46062
     48790      46280
     48251      46902
     48470      46658
     48016      47139
     48180      46915
     48259      46902
     46718      48309
     46934      48122
     47176      48013
     46847      48384
     46580      48558
     46453      48642
     46277      48801
     46452      48611
     45104      50086
     45314      49812
     45294      49805
     44656      50513
     44724      50435
     44472      50662
     44377      50671
     44739      50446
     43416      51871
     43391      51828
     43121      51950
     42905      52155
     42725      52471
     42685      52538
     42191      53067
     40538      54516
     37559      57906
     32123      63322
     27159      68531
     22139      73886
     17423      79214
     12403      85023
      7688      90745
      2718      96647
