# numero_iteraciones:  1
# numero_hilos:        4330
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                1000
# Tmax:                1500
# densidad_uniforme:   0
# Cyril:               0
# Z-Order              0
# emisividad:          0.85
# lambda:              0.03765
# difusion:            0.499968
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   263685
# caminos_cortados:    13435
# %% cortados:         4.84808
# puntos_generados:    180450499
# tiempo:              1m 17s

    131977       3491
    129259      10802
    126859      19159
    124647      28636
    122514      39097
    120386      51156
    118214      65211
    116173      81697
     73268      59614
     48472      41735
     48664      42310
     39213      34250
     38995      34243
     48864      43524
     49543      43774
     73245      64868
     73198      67293
     49911      45433
     49625      45440
     39712      36369
     39265      36230
     49543      45886
     49258      46235
     72857      67791
     72170      69612
     49173      46923
     48857      46822
     39024      37636
     39084      37590
     48730      47426
     48580      47609
     71958      70223
     70679      71512
     48137      48327
     47951      48205
     38299      38720
     38278      38918
     47303      48472
     47444      48500
     70057      71453
     68368      72566
     46209      49012
     45884      48970
     36648      39091
     36927      39264
     45935      49229
     45814      49265
     67543      72482
     65064      72672
     44114      49163
     43806      48927
     34430      38710
     34660      38517
     42881      48009
     41793      48203
     59928      72911
     82307     115623
     65582     117717
     51454     119825
     39215     121981
     28530     124161
     19234     126388
     10854     128731
      3543     131547
