# numero_iteraciones:  1
# numero_hilos:        4330
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                300
# Tmax:                310
# densidad_uniforme:   0
# Cyril:               0
# Z-Order              0
# emisividad:          0.85
# lambda:              40
# difusion:            0.999986
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   248724
# caminos_cortados:    28396
# %% cortados:         10.2468
# puntos_generados:    1664376603
# tiempo:              15m 31s

    124415         58
    121579        118
    119318        190
    117134        257
    114954        320
    112739        373
    110583        462
    108389        676
     97498       1786
     89728       3524
     87181       5285
     84846       6620
     82417       8698
     80833      10601
     78694      12422
     76510      13985
     75203      15137
     73115      17032
     70952      18919
     68729      20342
     66244      22600
     64644      24631
     62377      26538
     60244      28256
     58824      29541
     56977      31511
     54831      33456
     52569      35021
     50172      37395
     48600      39446
     46554      41477
     44443      43248
     43151      44643
     41387      46659
     39396      48674
     37321      50232
     34934      52694
     33454      54851
     31517      57039
     29539      58923
     28155      60214
     26466      62324
     24467      64389
     22546      66005
     20297      68496
     18914      70755
     17008      72955
     15090      75024
     13854      76254
     12315      78415
     10500      80472
      8638      82171
      6596      84724
      5261      87045
      3502      89675
      1751      97477
       619     108256
       407     110299
       330     112451
       263     114602
       199     116803
       148     119024
        93     121330
        41     124156
