# numero_iteraciones:  1
# numero_hilos:        4330
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                300
# Tmax:                310
# densidad_uniforme:   0
# Cyril:               1
# Z-Order              0
# emisividad:          0.85
# lambda:              40
# difusion:            0.999986
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   248724
# caminos_cortados:    28396
# %% cortados:         10.2468
# puntos_generados:    1664376603
# tiempo:              15m 31s

      4313          1
      4256          4
      4200          7
      4189          6
      4148         13
      4136          9
      4151         11
      4131         16
      4035         36
      3945        133
      3799        210
      3663        299
      3618        377
      3448        456
      3327        530
      3228        619
      3195        635
      3128        704
      3035        770
      2893        894
      2762        972
      2793        963
      2608       1129
      2492       1179
      2416       1228
      2396       1273
      2250       1358
      2161       1452
      2038       1586
      2067       1562
      1929       1709
      1849       1766
      1843       1800
      1713       1914
      1585       2059
      1518       2067
      1468       2189
      1351       2330
      1301       2342
      1214       2431
      1155       2502
      1067       2623
      1036       2693
       971       2722
       867       2874
       822       2997
       737       3034
       604       3174
       623       3215
       528       3334
       398       3513
       372       3541
       272       3687
       199       3795
       144       3896
        39       4055
        17       4139
        16       4109
         6       4170
         9       4170
         6       4182
         2       4208
         6       4256
         1       4307
