# numero_iteraciones:  1
# numero_hilos:        4330
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                1000
# Tmax:                1500
# densidad_uniforme:   0
# Cyril:               0
# Z-Order              0
# emisividad:          0.85
# lambda:              0.03765
# difusion:            0.499968
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   263873
# caminos_cortados:    13247
# %% cortados:         4.78024
# puntos_generados:    181524426
# tiempo:              1m 33s

    131877       3353
    129061      10814
    126793      19310
    124625      28802
    122405      39371
    120226      51527
    118054      65366
    115914      81796
     73208      60039
     48790      41779
     49331      42489
     39169      34441
     39400      34327
     49310      43747
     49774      44031
     73356      64966
     73081      67394
     49706      45562
     49234      45506
     39456      36690
     39680      36632
     49351      45931
     49400      46106
     72789      68169
     72145      70042
     49168      47258
     48919      47294
     38818      37887
     38999      37775
     48725      47694
     48733      47910
     72022      70092
     70572      71574
     48185      48615
     47914      48428
     38130      38882
     38315      38900
     47239      48722
     47334      48810
     70057      71875
     68333      72822
     46508      49290
     46351      48957
     36977      39093
     37171      39333
     45874      49227
     45871      49623
     67651      72871
     65361      73525
     44243      49509
     43907      49218
     34334      38971
     34433      38955
     42656      48696
     41771      48491
     59855      73024
     82045     115813
     65545     117944
     51615     120123
     39406     122312
     28785     124559
     19191     126730
     10908     129038
      3491     131828
