# numero_iteraciones:  1
# numero_hilos:        4330
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                300
# Tmax:                310
# densidad_uniforme:   0
# Cyril:               0
# Z-Order              0
# emisividad:          0.85
# lambda:              0.001
# difusion:            0.646411
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   265029
# caminos_cortados:    12091
# %% cortados:         4.36309
# puntos_generados:    184301774
# tiempo:              1m 21s

    132490       3268
    129715      10182
    127412      17864
    125107      26584
    122958      36162
    120736      47146
    118587      59477
    116422      73578
     70225      51671
     45588      35886
     45594      36780
     36520      30018
     36670      30013
     45889      37983
     46268      38345
     69636      57845
     69070      60724
     46443      40623
     46142      40375
     36976      32838
     36646      32902
     45677      41192
     46060      41288
     68760      61678
     67620      64293
     45282      42699
     44898      42882
     36008      34614
     36126      34792
     44668      43114
     44895      43693
     66969      65070
     65278      66891
     43993      44735
     43565      44479
     35051      35947
     34816      35992
     43089      44596
     43102      45049
     64368      67438
     62093      68548
     41593      45888
     41382      45569
     33172      37044
     32816      36837
     40947      45983
     41014      46135
     61097      68795
     58072      69466
     38668      46308
     38262      45715
     30421      36243
     30114      36583
     36561      45345
     36001      45609
     51973      69856
     73859     116431
     59663     118552
     47443     120698
     36518     122864
     26718     125057
     18158     127304
     10419     129620
      3285     132381
