# numero_iteraciones:  1
# numero_hilos:        4330
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                300
# Tmax:                310
# densidad_uniforme:   0
# Cyril:               0
# Z-Order              0
# emisividad:          0.85
# lambda:              0.001
# difusion:            0.646411
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   264736
# caminos_cortados:    12384
# %% cortados:         4.46882
# puntos_generados:    183448218
# tiempo:              1m 3s

    132355       3241
    129547      10212
    127271      18005
    124987      26734
    122842      36524
    120650      47408
    118480      59715
    116403      73924
     69779      52140
     45552      36143
     45505      36632
     36812      30076
     36475      30168
     45542      38172
     45885      38487
     69387      58065
     68786      60729
     46285      40829
     46047      40642
     36991      33153
     36693      32818
     45403      41235
     45767      41749
     68571      62107
     67411      64465
     45092      43084
     44940      42827
     35870      34603
     35722      34618
     44288      43522
     44776      43574
     66776      65063
     65088      66732
     43475      44797
     43137      44375
     34532      35952
     34633      36037
     42567      44972
     42686      45118
     63900      67285
     61761      68559
     41484      45936
     41111      45506
     32913      36898
     32657      36760
     40321      45882
     40635      46237
     60806      68792
     58098      69368
     38197      46027
     37681      45920
     29933      36331
     29935      36606
     36528      45388
     35882      45528
     51585      69897
     73653     116138
     59245     118269
     46907     120479
     36021     122680
     26382     124848
     17601     127097
      9887     129423
      3180     132221
