# numero_iteraciones:  1
# numero_hilos:        4330
# max_path_length:     1500000
# beta_diff:           1
# delta_diff:          0.5
# Tmin:                1000
# Tmax:                1500
# densidad_uniforme:   0
# Cyril:               0
# Z-Order              0
# emisividad:          0.85
# lambda:              0.0042
# difusion:            0.100347
# num_intervalos:      64
# umbral_bbox_hits:    50
# object_name:         kelvinCell.obj
# caminos_generados:   238919
# caminos_cortados:    38200
# %% cortados:         13.7847
# puntos_generados:    160505957
# tiempo:              2m 32s

    119285       3073
    116501       9762
    114139      17546
    111967      26494
    109748      36907
    107611      49482
    105486      64667
    103433      83769
     69178      64827
     46789      45849
     47108      46145
     37401      36424
     37287      36584
     47538      46700
     47689      47015
     69408      68387
     69767      69349
     48169      47640
     48233      47748
     37983      37576
     37883      37547
     48100      47757
     48077      47708
     69732      69081
     69591      69703
     48181      47863
     48019      47839
     37952      37844
     38335      38028
     48245      48182
     47994      47966
     69527      69591
     69468      69846
     48032      48202
     48174      48207
     38070      37881
     38069      38120
     47878      48225
     47880      48164
     69304      69700
     68988      69783
     47592      47983
     47647      48051
     37529      38234
     37597      38382
     47479      48355
     47340      48371
     69016      69543
     68127      69470
     46511      47720
     46442      47402
     36398      37353
     36502      37363
     46100      47436
     45773      47060
     64711      69127
     83787     103449
     64624     105529
     49720     107672
     37132     109813
     26511     112007
     17569     114317
      9812     116624
      2961     119432
